nfb2222,2016/05/01 00:00:00,89,1,S,23,T,1,L,1,104,2,S,26,T,0,L,0
nfb2222,2016/05/01 00:05:00,89,1,S,26,T,0,L,1,111,2,S,18,T,0,L,0
nfb2222,2016/05/01 00:10:00,97,1,S,23,T,1,L,1,106,2,S,17,T,0,L,0
nfb2222,2016/05/01 00:15:00,92,1,S,34,T,0,L,0,101,2,S,36,T,0,L,0
nfb2222,2016/05/01 00:20:00,96,1,S,29,T,3,L,0,106,2,S,27,T,0,L,0
nfb2222,2016/05/01 00:25:00,92,1,S,29,T,3,L,0,108,2,S,18,T,2,L,0
nfb2222,2016/05/01 00:30:00,97,1,S,22,T,1,L,1,105,2,S,19,T,0,L,0
nfb2222,2016/05/01 00:35:00,87,1,S,21,T,1,L,0,96,2,S,14,T,0,L,0
nfb2222,2016/05/01 00:40:00,93,1,S,23,T,0,L,1,111,2,S,15,T,0,L,0
nfb2222,2016/05/01 00:45:00,93,1,S,24,T,0,L,0,102,2,S,23,T,0,L,0
nfb2222,2016/05/01 00:50:00,94,1,S,25,T,2,L,1,108,2,S,17,T,0,L,0
nfb2222,2016/05/01 00:55:00,92,1,S,20,T,0,L,0,100,2,S,18,T,0,L,0
nfb2222,2016/05/01 01:00:00,93,1,S,18,T,0,L,0,98,2,S,17,T,0,L,0
nfb2222,2016/05/01 01:05:00,93,1,S,24,T,0,L,0,109,2,S,14,T,0,L,0
nfb2222,2016/05/01 01:10:00,93,1,S,17,T,1,L,1,105,2,S,8,T,0,L,0
nfb2222,2016/05/01 01:15:00,93,1,S,16,T,1,L,1,105,2,S,9,T,0,L,0
nfb2222,2016/05/01 01:20:00,99,1,S,14,T,2,L,0,108,2,S,16,T,0,L,0
nfb2222,2016/05/01 01:25:00,99,1,S,17,T,2,L,0,110,2,S,14,T,0,L,0
nfb2222,2016/05/01 01:30:00,100,1,S,7,T,1,L,0,99,2,S,4,T,0,L,0
nfb2222,2016/05/01 01:35:00,87,1,S,15,T,0,L,1,99,2,S,13,T,0,L,0
nfb2222,2016/05/01 01:40:00,98,1,S,20,T,0,L,1,106,2,S,12,T,0,L,0
nfb2222,2016/05/01 01:45:00,97,1,S,22,T,0,L,3,103,2,S,11,T,0,L,0
nfb2222,2016/05/01 01:50:00,98,1,S,7,T,0,L,0,109,2,S,5,T,0,L,0
nfb2222,2016/05/01 01:55:00,97,1,S,13,T,0,L,1,106,2,S,4,T,0,L,0
nfb2222,2016/05/01 02:00:00,95,1,S,9,T,0,L,1,113,2,S,8,T,0,L,0
nfb2222,2016/05/01 02:05:00,95,1,S,13,T,2,L,1,114,2,S,12,T,0,L,0
